State,District,Disease,ISO_Year,ISO_Week,Cases,Deaths,Latitude,Longitude,Precipitation,Surface Temperature,LAI,Date,fever_cases,fever_rate,headache_cases,headache_rate,chills_cases,chills_rate,muscle_pain_cases,muscle_pain_rate,joint_pain_cases,joint_pain_rate,joint_swelling_cases,joint_swelling_rate,fatigue_cases,fatigue_rate,nausea_cases,nausea_rate,vomiting_cases,vomiting_rate,rash_cases,rash_rate,retro_orbital_pain_cases,retro_orbital_pain_rate,abdominal_pain_cases,abdominal_pain_rate,diarrhea_cases,diarrhea_rate,watery_diarrhea_cases,watery_diarrhea_rate,dehydration_cases,dehydration_rate,weakness_cases,weakness_rate,altered_mental_status_cases,altered_mental_status_rate,seizures_cases,seizures_rate
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2011,25,51.0,0.0,13.1601048,79.15555062,0.02659007207,307.488,,2011-06-25,13,0.2549019607843137,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.2941176470588235,18,0.3529411764705882,0,0.0,0,0.0,28,0.5490196078431373,39,0.7647058823529411,0,0.0,2,0.0392156862745098,31,0.6078431372549019,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2011,32,29.0,0.0,13.2178147,79.0929361,0.06253562373,296.94,9.0,2011-08-09,12,0.4137931034482758,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.3793103448275862,8,0.2758620689655172,0,0.0,0,0.0,14,0.4827586206896552,22,0.7586206896551724,0,0.0,2,0.0689655172413793,16,0.5517241379310345,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2011,44,45.0,0.0,13.1601048,79.15555062,0.72651644,,17.0,2011-11-03,10,0.2222222222222222,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.2222222222222222,6,0.1333333333333333,0,0.0,0,0.0,24,0.5333333333333333,37,0.8222222222222222,0,0.0,6,0.1333333333333333,20,0.4444444444444444,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2011,47,43.0,0.0,13.1601048,79.15555062,0.03873107415,299.90000000000003,,2011-11-25,8,0.1860465116279069,0,0.0,1,0.0232558139534883,0,0.0,0,0.0,0,0.0,0,0.0,13,0.3023255813953488,20,0.4651162790697674,0,0.0,0,0.0,21,0.4883720930232558,33,0.7674418604651163,0,0.0,4,0.0930232558139534,28,0.6511627906976745,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2012,23,21.0,1.0,13.1601048,79.15555062,0.08453240705,311.296,,2012-06-09,11,0.5238095238095238,0,0.0,1,0.0476190476190476,0,0.0,0,0.0,0,0.0,0,0.0,7,0.3333333333333333,9,0.4285714285714285,0,0.0,0,0.0,12,0.5714285714285714,19,0.9047619047619048,0,0.0,5,0.238095238095238,18,0.8571428571428571,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2012,26,24.0,0.0,13.1601048,79.15555062,0.1251162156,309.0266666,11.0,2012-06-27,11,0.4583333333333333,0,0.0,1,0.0416666666666666,0,0.0,0,0.0,0,0.0,0,0.0,10,0.4166666666666667,10,0.4166666666666667,0,0.0,0,0.0,17,0.7083333333333334,22,0.9166666666666666,0,0.0,5,0.2083333333333333,14,0.5833333333333334,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2012,37,70.0,1.0,13.1601048,79.15555062,0.1577177859,304.78000000000003,10.0,2012-09-10,20,0.2857142857142857,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.2428571428571428,16,0.2285714285714285,0,0.0,0,0.0,32,0.4571428571428571,51,0.7285714285714285,0,0.0,0,0.0,37,0.5285714285714286,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2013,5,29.0,0.0,13.1601048,79.15555062,0.0006336637921,303.3566666,9.0,2013-01-31,6,0.2068965517241379,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.3793103448275862,7,0.2413793103448276,0,0.0,0,0.0,17,0.5862068965517241,26,0.896551724137931,0,0.0,1,0.0344827586206896,17,0.5862068965517241,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2013,7,82.0,0.0,13.1601048,79.15555062,0.005553353091,304.9666666,8.0,2013-02-11,34,0.4146341463414634,0,0.0,14,0.1707317073170731,0,0.0,0,0.0,0,0.0,0,0.0,40,0.4878048780487805,39,0.4756097560975609,0,0.0,0,0.0,55,0.6707317073170732,77,0.9390243902439024,0,0.0,23,0.2804878048780488,63,0.7682926829268293,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2013,12,21.0,0.0,13.1601048,79.15555062,0.0009203180385,307.88,,2013-03-21,5,0.238095238095238,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.3809523809523809,7,0.3333333333333333,0,0.0,0,0.0,14,0.6666666666666666,14,0.6666666666666666,0,0.0,3,0.1428571428571428,13,0.6190476190476191,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2013,16,16.0,0.0,13.1601048,79.15555062,0.007145038897,313.072,8.0,2013-04-20,6,0.375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.25,4,0.25,0,0.0,0,0.0,9,0.5625,16,1.0,0,0.0,0,0.0,13,0.8125,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2013,18,44.0,0.0,13.1601048,79.15555062,0.002548878307,311.956,7.0,2013-05-03,10,0.2272727272727272,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,0.3181818181818182,11,0.25,0,0.0,0,0.0,28,0.6363636363636364,37,0.8409090909090909,0,0.0,6,0.1363636363636363,26,0.5909090909090909,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2013,47,15.0,0.0,13.1601048,79.15555062,0.294202793,300.62,15.0,2013-11-22,11,0.7333333333333333,0,0.0,3,0.2,0,0.0,0,0.0,0,0.0,0,0.0,7,0.4666666666666667,8,0.5333333333333333,0,0.0,0,0.0,11,0.7333333333333333,15,1.0,0,0.0,3,0.2,14,0.9333333333333332,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2014,25,19.0,0.0,13.1601048,79.15555062,0.1034736358,309.17,13.0,2014-06-16,7,0.3684210526315789,0,0.0,1,0.0526315789473684,0,0.0,0,0.0,0,0.0,0,0.0,7,0.3684210526315789,6,0.3157894736842105,0,0.0,0,0.0,11,0.5789473684210527,16,0.8421052631578947,0,0.0,3,0.1578947368421052,9,0.4736842105263157,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2014,30,14.0,0.0,13.1601048,79.15555062,0.03713151105,304.98,8.0,2014-07-26,4,0.2857142857142857,0,0.0,2,0.1428571428571428,0,0.0,0,0.0,0,0.0,0,0.0,7,0.5,3,0.2142857142857142,0,0.0,0,0.0,12,0.8571428571428571,14,1.0,0,0.0,0,0.0,11,0.7857142857142857,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2014,48,22.0,2.0,13.1601048,79.15555062,0.001506591047,297.495,14.0,2014-11-29,6,0.2727272727272727,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.1363636363636363,9,0.4090909090909091,0,0.0,0,0.0,15,0.6818181818181818,20,0.9090909090909092,0,0.0,3,0.1363636363636363,13,0.5909090909090909,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2015,13,82.0,0.0,13.1601048,79.15555062,0.001338915891,313.108,,2015-03-29,20,0.2439024390243902,0,0.0,2,0.024390243902439,0,0.0,0,0.0,0,0.0,0,0.0,30,0.3658536585365853,26,0.3170731707317073,0,0.0,0,0.0,55,0.6707317073170732,69,0.8414634146341463,0,0.0,12,0.1463414634146341,50,0.6097560975609756,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2015,14,18.0,0.0,13.1601048,79.15555062,0.008543948554,310.95,7.0,2015-04-05,10,0.5555555555555556,0,0.0,1,0.0555555555555555,0,0.0,0,0.0,0,0.0,0,0.0,8,0.4444444444444444,7,0.3888888888888889,0,0.0,0,0.0,13,0.7222222222222222,17,0.9444444444444444,0,0.0,4,0.2222222222222222,11,0.6111111111111112,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2015,19,23.0,0.0,13.1601048,79.15555062,0.02483848363,308.93,6.0,2015-05-10,10,0.4347826086956521,0,0.0,1,0.0434782608695652,0,0.0,0,0.0,0,0.0,0,0.0,5,0.217391304347826,8,0.3478260869565217,0,0.0,0,0.0,18,0.782608695652174,19,0.8260869565217391,0,0.0,3,0.1304347826086956,12,0.5217391304347826,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2015,22,16.0,0.0,13.1601048,79.15555062,0.1061365377,309.49,13.0,2015-05-29,2,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.3125,2,0.125,0,0.0,0,0.0,12,0.75,11,0.6875,0,0.0,0,0.0,7,0.4375,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2015,24,55.0,1.0,13.1601048,79.15555062,0.48945949,306.42,14.0,2015-06-14,19,0.3454545454545454,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.2363636363636363,25,0.4545454545454545,0,0.0,0,0.0,35,0.6363636363636364,46,0.8363636363636363,0,0.0,9,0.1636363636363636,28,0.509090909090909,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2016,4,52.0,0.0,13.1601048,79.15555062,0.05755587459,302.264,11.0,2016-01-30,17,0.3269230769230769,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,0.2692307692307692,19,0.3653846153846153,0,0.0,0,0.0,34,0.6538461538461539,41,0.7884615384615384,0,0.0,0,0.0,30,0.5769230769230769,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2016,25,75.0,1.0,13.1601048,79.15555062,0.4517175858,302.2,13.0,2016-06-26,18,0.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.2666666666666666,26,0.3466666666666667,0,0.0,0,0.0,44,0.5866666666666667,62,0.8266666666666667,0,0.0,15,0.2,49,0.6533333333333333,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2016,30,11.0,0.0,13.1601048,79.15555062,0.8138324845,304.45,15.0,2016-07-29,3,0.2727272727272727,0,0.0,3,0.2727272727272727,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0909090909090909,8,0.7272727272727273,0,0.0,0,0.0,10,0.9090909090909092,9,0.8181818181818182,0,0.0,2,0.1818181818181818,4,0.3636363636363636,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2016,31,32.0,0.0,13.1601048,79.15555062,0.001476693637,299.2466666,17.0,2016-08-07,6,0.1875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.46875,10,0.3125,0,0.0,0,0.0,19,0.59375,25,0.78125,0,0.0,3,0.09375,19,0.59375,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2016,39,12.0,0.0,13.1601048,79.15555062,0.2775444993,302.16,,2016-09-29,2,0.1666666666666666,0,0.0,1,0.0833333333333333,0,0.0,0,0.0,0,0.0,0,0.0,8,0.6666666666666666,7,0.5833333333333334,0,0.0,0,0.0,9,0.75,11,0.9166666666666666,0,0.0,2,0.1666666666666666,10,0.8333333333333334,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2018,6,42.0,0.0,13.1601048,79.15555062,0.09335975988,304.23,11.0,2018-02-11,15,0.3571428571428571,0,0.0,1,0.0238095238095238,0,0.0,0,0.0,0,0.0,0,0.0,16,0.3809523809523809,11,0.2619047619047619,0,0.0,0,0.0,22,0.5238095238095238,31,0.7380952380952381,0,0.0,8,0.1904761904761904,28,0.6666666666666666,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2019,25,35.0,0.0,13.1601048,79.15555062,0.01858787331,310.12,8.0,2019-06-19,17,0.4857142857142857,0,0.0,2,0.0571428571428571,0,0.0,0,0.0,0,0.0,0,0.0,20,0.5714285714285714,18,0.5142857142857142,0,0.0,0,0.0,22,0.6285714285714286,32,0.9142857142857144,0,0.0,9,0.2571428571428571,27,0.7714285714285715,0,0.0,0,0.0
Andhra Pradesh,Chittor,Chikungunya,2013,11,12.0,0.0,13.1601048,79.15555062,0.0001769088606,308.26,10.0,2013-03-15,7,0.5833333333333334,5,0.4166666666666667,0,0.0,10,0.8333333333333334,12,1.0,8,0.6666666666666666,5,0.4166666666666667,4,0.3333333333333333,0,0.0,4,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Andhra Pradesh,Chittor,Dengue,2017,9,63.0,0.0,13.1601048,79.15555062,0.0002700199809,306.12,8.0,2017-03-04,53,0.8412698412698413,39,0.6190476190476191,0,0.0,43,0.6825396825396826,44,0.6984126984126984,0,0.0,22,0.3492063492063492,18,0.2857142857142857,15,0.238095238095238,28,0.4444444444444444,38,0.6031746031746031,0,0.0,10,0.1587301587301587,0,0.0,0,0.0,4,0.0634920634920634,0,0.0,0,0.0
Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,2012,20,29.0,0.0,14.4956602,78.8349278,0.1016562317,314.0666666,,2012-05-16,12,0.4137931034482758,0,0.0,2,0.0689655172413793,0,0.0,0,0.0,0,0.0,0,0.0,13,0.4482758620689655,8,0.2758620689655172,0,0.0,0,0.0,19,0.6551724137931034,27,0.9310344827586208,0,0.0,7,0.2413793103448276,18,0.6206896551724138,0,0.0,0,0.0
Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,2016,24,14.0,0.0,14.4956602,78.8349278,0.296688057,309.54,6.0,2016-06-13,6,0.4285714285714285,0,0.0,1,0.0714285714285714,0,0.0,0,0.0,0,0.0,0,0.0,4,0.2857142857142857,7,0.5,0,0.0,0,0.0,10,0.7142857142857143,12,0.8571428571428571,0,0.0,3,0.2142857142857142,8,0.5714285714285714,0,0.0,0,0.0
Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,2016,28,42.0,0.0,14.4956602,78.8349278,0.1040768561,301.12,9.0,2016-07-12,10,0.238095238095238,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.3095238095238095,9,0.2142857142857142,0,0.0,0,0.0,26,0.6190476190476191,36,0.8571428571428571,0,0.0,2,0.0476190476190476,22,0.5238095238095238,0,0.0,0,0.0
Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,2017,31,51.0,0.0,14.4956602,78.8349278,0.08707381249,308.0466666,6.0,2017-07-31,10,0.196078431372549,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.2352941176470588,14,0.2745098039215686,0,0.0,0,0.0,29,0.5686274509803921,39,0.7647058823529411,0,0.0,5,0.0980392156862745,30,0.5882352941176471,0,0.0,0,0.0
Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,2018,13,25.0,0.0,14.4956602,78.8349278,0.004435096183,310.12333340000004,8.0,2018-03-31,11,0.44,0,0.0,4,0.16,0,0.0,0,0.0,0,0.0,0,0.0,10,0.4,11,0.44,0,0.0,0,0.0,16,0.64,21,0.84,0,0.0,3,0.12,15,0.6,0,0.0,0,0.0
Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2010,2,25.0,0.0,16.99842865,81.71561488,0.008943070151,300.535,13.0,2010-01-12,4,0.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.16,4,0.16,0,0.0,0,0.0,13,0.52,19,0.76,0,0.0,0,0.0,9,0.36,0,0.0,0,0.0
Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2011,40,55.0,0.0,16.99842865,81.71561488,0.01923500463,304.14,18.0,2011-10-09,15,0.2727272727272727,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.2727272727272727,20,0.3636363636363636,0,0.0,0,0.0,39,0.7090909090909091,48,0.8727272727272727,0,0.0,11,0.2,36,0.6545454545454545,0,0.0,0,0.0
Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2012,27,41.0,0.0,16.99842865,81.71561488,0.8395909477,305.8,13.0,2012-07-06,8,0.1951219512195122,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.1951219512195122,9,0.2195121951219512,0,0.0,0,0.0,26,0.6341463414634146,34,0.8292682926829268,0,0.0,1,0.024390243902439,23,0.5609756097560976,0,0.0,0,0.0
Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2012,45,224.0,0.0,16.99842865,81.71561488,1.285813591,299.28000000000003,19.0,2012-11-05,90,0.4017857142857143,0,0.0,18,0.0803571428571428,0,0.0,0,0.0,0,0.0,0,0.0,88,0.3928571428571428,80,0.3571428571428571,0,0.0,0,0.0,160,0.7142857142857143,199,0.8883928571428571,0,0.0,47,0.2098214285714285,154,0.6875,0,0.0,0,0.0
Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2013,16,30.0,0.0,16.99842865,81.71561488,0.0006611923121,307.216,10.0,2013-04-16,6,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0666666666666666,4,0.1333333333333333,0,0.0,0,0.0,16,0.5333333333333333,18,0.6,0,0.0,0,0.0,15,0.5,0,0.0,0,0.0
