date,disease,state,district,number_of_outbreak_locations,aggregate_intensity,maximum_intensity,affected_taluk_count
2020-03-01,fever_ip,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-03-01,hepatitis_a_confirmed,Kerala,Thrissur,0,0.0,0.0,1
2020-03-01,scrub_typhus,Kerala,Kasaragod,1,0.0,0.0,1
2020-03-01,scrub_typhus,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-03-02,fever_ip,Kerala,Alappuzha,1,0.0,0.0,1
2020-03-02,fever_ip,Kerala,Kannur,1,0.0133601871946466,0.0133601871946466,1
2020-03-02,fever_ip,Kerala,Kozhikode,1,0.0,0.0,1
2020-03-02,hepatitis_a_confirmed,Kerala,Ernakulam,0,0.0,0.0,1
2020-03-02,hepatitis_a_confirmed,Kerala,Kottayam,1,0.0,0.0,1
2020-03-02,hepatitis_a_confirmed,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-03-02,malaria,Kerala,Idukki,0,0.0,0.0,1
2020-03-02,malaria,Kerala,Kozhikode,0,0.0,0.0,1
2020-03-02,scrub_typhus,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-03-03,fever_ip,Kerala,Kottayam,1,0.0,0.0,1
2020-03-03,hepatitis_a_confirmed,Kerala,Kasaragod,1,0.0,0.0,1
2020-03-03,hepatitis_a_confirmed,Kerala,Kollam,1,0.0,0.0,1
2020-03-03,hepatitis_a_confirmed,Kerala,Wayanad,0,0.0,0.0,1
2020-03-03,malaria,Kerala,Ernakulam,0,0.0,0.0,1
2020-03-04,fever_ip,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-03-04,hepatitis_a_confirmed,Kerala,Kasaragod,1,0.0,0.0,1
2020-03-04,hepatitis_a_confirmed,Kerala,Malappuram,1,0.0,0.0,1
2020-03-04,hepatitis_a_probable,Kerala,Thrissur,1,0.0,0.0,1
2020-03-04,hepatitis_a_probable,Kerala,Wayanad,1,0.0,0.0,1
2020-03-05,hepatitis_a_confirmed,Kerala,Kasaragod,0,0.0,0.0,1
2020-03-05,hepatitis_a_confirmed,Kerala,Kollam,0,0.0,0.0,1
2020-03-05,hepatitis_a_confirmed,Kerala,Kottayam,1,0.0,0.0,1
2020-03-05,hepatitis_a_confirmed,Kerala,Kozhikode,1,0.0,0.0,1
2020-03-05,hepatitis_a_confirmed,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-03-05,hepatitis_a_probable,Kerala,Palakkad,1,0.0,0.0,1
2020-03-06,hepatitis_a_confirmed,Kerala,Kottayam,1,0.0,0.0,1
2020-03-06,hepatitis_a_confirmed,Kerala,Kozhikode,1,0.0,0.0,1
2020-03-06,hepatitis_a_confirmed,Kerala,Thrissur,0,0.0,0.0,1
2020-03-06,hepatitis_a_probable,Kerala,Idukki,0,0.0,0.0,1
2020-03-06,shigella,Kerala,Ernakulam,0,0.0,0.0,1
2020-03-06,shigella,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-04-01,fever_op,Kerala,Alappuzha,0,0.0,0.0,1
2020-04-01,fever_op,Kerala,Kottayam,2,0.0,0.0,2
2020-04-01,fever_op,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-04-01,leptospirosis_probable,Kerala,Kottayam,0,0.0,0.0,1
2020-04-01,leptospirosis_probable,Kerala,Malappuram,1,0.0,0.0,1
2020-04-01,leptospirosis_probable,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-04-02,fever_op,Kerala,Pathanamthitta,2,0.0,0.0,2
2020-04-02,leptospirosis_probable,Kerala,Alappuzha,1,0.0,0.0,1
2020-04-02,leptospirosis_probable,Kerala,Kannur,1,0.0,0.0,1
2020-04-02,leptospirosis_probable,Kerala,Kottayam,0,0.0,0.0,1
2020-04-02,leptospirosis_probable,Kerala,Palakkad,1,0.0,0.0,1
2020-04-03,fever_op,Kerala,Kannur,1,0.0,0.0,1
2020-04-03,fever_op,Kerala,Kollam,1,0.0,0.0,1
2020-04-03,leptospirosis_confirmed,Kerala,Kannur,0,0.0,0.0,1
2020-04-03,leptospirosis_confirmed,Kerala,Malappuram,0,0.0,0.0,1
2020-04-03,leptospirosis_confirmed,Kerala,Palakkad,1,0.0,0.0,1
2020-04-03,malaria,Kerala,Kottayam,0,0.0,0.0,1
2020-04-04,fever_op,Kerala,Idukki,0,0.0,0.0,1
2020-04-04,fever_op,Kerala,Kannur,0,0.0,0.0,1
2020-04-04,fever_op,Kerala,Palakkad,0,0.0,0.0,1
2020-04-04,malaria,Kerala,Kannur,0,0.0,0.0,1
2020-04-04,measles,Kerala,Kollam,0,0.0,0.0,1
2020-04-05,fever_op,Kerala,Idukki,1,0.0,0.0,1
2020-04-05,fever_op,Kerala,Kozhikode,1,0.0,0.0,1
2020-04-05,fever_op,Kerala,Thrissur,1,0.0,0.0,1
2020-04-05,leptospirosis_confirmed,Kerala,Alappuzha,0,0.0,0.0,1
2020-04-05,leptospirosis_confirmed,Kerala,Ernakulam,0,0.0,0.0,1
2020-04-05,leptospirosis_confirmed,Kerala,Malappuram,1,0.0,0.0,2
2020-04-05,malaria,Kerala,Ernakulam,0,0.0,0.0,1
2020-04-05,malaria,Kerala,Kollam,0,0.0,0.0,1
2020-04-05,malaria,Kerala,Kottayam,0,0.0,0.0,1
2020-04-05,malaria,Kerala,Malappuram,0,0.0006990364770895,0.0006990364770895,1
2020-04-06,hepatitis_a_probable,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-04-06,malaria,Kerala,Kollam,0,0.0,0.0,1
2020-04-07,hepatitis_a_probable,Kerala,Alappuzha,0,0.0,0.0,1
2020-04-07,hepatitis_a_probable,Kerala,Ernakulam,1,0.0,0.0,1
2020-04-07,hepatitis_a_probable,Kerala,Kannur,1,0.0,0.0,1
2020-04-07,hepatitis_a_probable,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-04-08,hepatitis_a_probable,Kerala,Kannur,1,0.0,0.0,1
2020-04-08,hepatitis_a_probable,Kerala,Kasaragod,1,0.0,0.0,1
2020-04-08,hepatitis_a_probable,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-04-08,hepatitis_a_probable,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-04-08,hepatitis_a_probable,Kerala,Thrissur,1,0.0,0.0,1
2020-04-09,hepatitis_a_probable,Kerala,Malappuram,1,0.0,0.0,1
2020-04-09,shigella,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-04-12,shigella,Kerala,Thrissur,0,0.0,0.0,1
2020-04-13,shigella,Kerala,Palakkad,0,0.0,0.0,1
2020-05-01,hepatitis_b,Kerala,Ernakulam,1,0.0,0.0,2
2020-05-02,chikungunya,Kerala,Alappuzha,0,0.0,0.0,1
2020-05-02,dengue,Kerala,Idukki,1,0.0,0.0,1
2020-05-02,dengue,Kerala,Thrissur,0,0.0,0.0,1
2020-05-02,hepatitis_b,Kerala,Kottayam,0,0.0,0.0,1
2020-05-02,hepatitis_b,Kerala,Palakkad,0,0.0,0.0,1
2020-05-02,hepatitis_b,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-05-03,dengue,Kerala,Ernakulam,2,0.0,0.0,2
2020-05-03,dengue,Kerala,Kasaragod,0,0.0,0.0,1
2020-05-03,dengue,Kerala,Kozhikode,1,0.0,0.0,1
2020-05-03,dengue,Kerala,Malappuram,2,0.0,0.0,2
2020-05-03,dengue,Kerala,Thrissur,0,0.0,0.0,1
2020-05-03,dengue,Kerala,Wayanad,0,0.0,0.0,1
2020-05-03,hepatitis_b,Kerala,Idukki,1,0.0,0.0,1
2020-05-03,hepatitis_b,Kerala,Palakkad,1,0.0,0.0,1
2020-05-03,hepatitis_b,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-05-03,hepatitis_b,Kerala,Thrissur,0,0.0,0.0,1
2020-05-03,scrub_typhus,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-05-04,chikungunya,Kerala,Thrissur,0,0.0,0.0,1
2020-05-04,hepatitis_b,Kerala,Alappuzha,1,0.0,0.0,1
2020-05-04,hepatitis_b,Kerala,Kannur,1,0.0,0.0,1
2020-05-04,scrub_typhus,Kerala,Kollam,0,0.0,0.0,1
2020-05-04,scrub_typhus,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-05-04,scrub_typhus,Kerala,Thrissur,0,0.0,0.0,1
2020-05-05,fever_ip,Kerala,Ernakulam,1,0.0,0.0,1
2020-05-05,fever_ip,Kerala,Kollam,1,0.0,0.0,1
2020-05-05,fever_ip,Kerala,Kottayam,1,0.0,0.0,1
2020-05-05,hepatitis_b,Kerala,Ernakulam,1,0.0,0.0,1
2020-05-05,hepatitis_b,Kerala,Idukki,1,0.0,0.0,1
2020-05-05,scrub_typhus,Kerala,Malappuram,0,0.0,0.0,1
2020-05-06,fever_op,Kerala,Palakkad,0,0.0,0.0,1
2020-05-06,fever_op,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-05-06,hepatitis_b,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-05-06,leptospirosis_confirmed,Kerala,Kannur,0,0.0,0.0,1
2020-05-06,leptospirosis_confirmed,Kerala,Malappuram,0,0.0015798509868574,0.0015798509868574,1
2020-05-07,chikungunya,Kerala,Palakkad,0,0.0,0.0,1
2020-05-07,chikungunya,Kerala,Thrissur,1,0.0,0.0,1
2020-05-07,fever_ip,Kerala,Kozhikode,0,0.0,0.0,1
2020-05-07,fever_ip,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-05-07,fever_op,Kerala,Kollam,1,0.0,0.0,1
2020-05-07,fever_op,Kerala,Kottayam,1,0.0,0.0,1
2020-05-07,fever_op,Kerala,Kozhikode,1,0.0,0.0,1
2020-05-07,hepatitis_a_confirmed,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-05-07,hepatitis_b,Kerala,Kasaragod,0,0.0,0.0,1
2020-05-07,malaria,Kerala,Kozhikode,0,0.0,0.0,1
2020-05-07,malaria,Kerala,Palakkad,0,0.0,0.0,1
2020-05-07,malaria,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-05-08,fever_op,Kerala,Palakkad,1,0.051535433036645,0.051535433036645,1
2020-05-08,fever_op,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-05-08,hepatitis_a_confirmed,Kerala,Kollam,1,0.0,0.0,1
2020-05-08,malaria,Kerala,Kasaragod,0,0.0049644432286372,0.0049644432286372,1
2020-05-09,fever_op,Kerala,Alappuzha,1,0.0,0.0,1
2020-05-09,fever_op,Kerala,Kottayam,1,0.0,0.0,1
2020-05-12,chikungunya,Kerala,Kannur,0,0.0,0.0,1
2020-05-13,chikungunya,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-05-16,chikungunya,Kerala,Kollam,1,0.0,0.0,1
2020-06-03,leptospirosis_probable,Kerala,Kasaragod,0,0.0,0.0,1
2020-06-03,leptospirosis_probable,Kerala,Malappuram,1,0.0,0.0,1
2020-06-03,leptospirosis_probable,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-06-03,leptospirosis_probable,Kerala,Thrissur,0,0.0,0.0,1
2020-06-04,dengue,Kerala,Idukki,0,0.0,0.0,1
2020-06-04,dengue,Kerala,Kollam,1,0.0,0.0,1
2020-06-04,dengue,Kerala,Kottayam,1,0.0,0.0,3
2020-06-04,dengue,Kerala,Kozhikode,0,0.0,0.0,1
2020-06-04,dengue,Kerala,Palakkad,0,0.0,0.0,2
2020-06-04,leptospirosis_probable,Kerala,Idukki,2,0.0,0.0,2
2020-06-04,leptospirosis_probable,Kerala,Wayanad,0,0.0,0.0,1
2020-06-04,typhoid,Kerala,Kasaragod,1,0.0,0.0,1
2020-06-05,dengue,Kerala,Alappuzha,0,0.0,0.0,1
2020-06-05,dengue,Kerala,Idukki,1,0.0,0.0,1
2020-06-05,dengue,Kerala,Kannur,1,0.0,0.0,1
2020-06-05,dengue,Kerala,Kottayam,0,0.4609149697147831,0.4609149697147831,1
2020-06-05,dengue,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-06-05,dengue,Kerala,Thrissur,1,0.0,0.0,1
2020-06-05,leptospirosis_probable,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-06-05,leptospirosis_probable,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-06-05,leptospirosis_probable,Kerala,Thrissur,0,0.0,0.0,1
2020-06-06,dengue,Kerala,Idukki,0,0.0,0.0,1
2020-06-06,dengue,Kerala,Kannur,0,0.0,0.0,2
2020-06-06,leptospirosis_probable,Kerala,Malappuram,0,0.0,0.0,1
2020-06-06,leptospirosis_probable,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-06-06,measles,Kerala,Ernakulam,1,0.0,0.0,1
2020-06-07,hepatitis_b,Kerala,Kollam,1,0.0,0.0,1
2020-06-07,hepatitis_b,Kerala,Wayanad,0,0.0,0.0,1
2020-06-08,hepatitis_b,Kerala,Alappuzha,1,0.0,0.0,1
2020-06-08,hepatitis_b,Kerala,Kasaragod,0,0.0,0.0,1
2020-06-08,hepatitis_b,Kerala,Kollam,0,0.2488642751701248,0.2488642751701248,1
2020-06-08,malaria,Kerala,Kannur,0,0.0,0.0,1
2020-06-08,malaria,Kerala,Thrissur,0,0.0,0.0,1
2020-06-09,hepatitis_b,Kerala,Ernakulam,1,0.0,0.0,1
2020-06-09,hepatitis_b,Kerala,Idukki,2,0.0,0.0,2
2020-06-09,hepatitis_b,Kerala,Palakkad,1,0.0,0.0,1
2020-06-09,malaria,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-06-10,hepatitis_b,Kerala,Alappuzha,2,0.0012873564928459,0.0012873564928459,2
2020-06-10,hepatitis_b,Kerala,Kannur,0,0.0,0.0,1
2020-06-10,hepatitis_b,Kerala,Kollam,1,0.0,0.0,1
2020-06-10,hepatitis_b,Kerala,Palakkad,0,0.0,0.0,1
2020-06-10,malaria,Kerala,Thrissur,0,0.0,0.0,1
2020-06-11,hepatitis_b,Kerala,Ernakulam,1,0.0,0.0,1
2020-06-11,hepatitis_b,Kerala,Malappuram,0,0.0,0.0,1
2020-06-11,hepatitis_b,Kerala,Palakkad,1,0.0,0.0,1
2020-06-12,hepatitis_b,Kerala,Kannur,1,0.0,0.0,1
2020-06-12,hepatitis_b,Kerala,Kottayam,0,0.0,0.0,1
2020-06-12,hepatitis_b,Kerala,Kozhikode,0,0.0,0.0,1
2020-07-06,acute_diarrheal_disease,Kerala,Ernakulam,0,0.0,0.0,1
2020-07-06,dengue,Kerala,Ernakulam,1,0.0,0.0,1
2020-07-06,dengue,Kerala,Kannur,0,0.0,0.0,1
2020-07-06,hepatitis_c,Kerala,Kottayam,1,0.0,0.0,1
2020-07-06,leptospirosis_probable,Kerala,Palakkad,0,0.0,0.0,1
2020-07-06,scrub_typhus,Kerala,Alappuzha,1,0.0,0.0,1
2020-07-06,scrub_typhus,Kerala,Ernakulam,0,0.0,0.0,1
2020-07-06,scrub_typhus,Kerala,Idukki,1,0.0,0.0,1
2020-07-07,acute_diarrheal_disease,Kerala,Malappuram,1,0.0,0.0,1
2020-07-07,hepatitis_c,Kerala,Idukki,0,0.0,0.0,1
2020-07-07,hepatitis_c,Kerala,Kottayam,1,0.0,0.0,1
2020-07-07,hepatitis_c,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-07-07,leptospirosis_probable,Kerala,Idukki,1,0.0,0.0,1
2020-07-07,leptospirosis_probable,Kerala,Kollam,0,0.0,0.0,1
2020-07-07,leptospirosis_probable,Kerala,Kottayam,0,0.0,0.0,1
2020-07-07,leptospirosis_probable,Kerala,Wayanad,0,1.6124798171278027e-05,1.6124798171278027e-05,1
2020-07-07,scrub_typhus,Kerala,Thrissur,0,0.0,0.0,1
2020-07-08,dengue,Kerala,Alappuzha,0,0.0,0.0,1
2020-07-08,dengue,Kerala,Kannur,1,0.0,0.0,1
2020-07-08,dengue,Kerala,Kollam,1,0.0,0.0,1
2020-07-08,fever_ip,Kerala,Kasaragod,0,0.0,0.0,1
2020-07-08,fever_ip,Kerala,Kollam,0,0.0,0.0,1
2020-07-08,fever_ip,Kerala,Malappuram,1,0.0,0.0,1
2020-07-08,hepatitis_a_confirmed,Kerala,Kannur,1,0.0,0.0,1
2020-07-08,hepatitis_a_confirmed,Kerala,Kasaragod,0,0.0002381106347815,0.0002381106347815,1
2020-07-08,hepatitis_a_confirmed,Kerala,Palakkad,0,0.0,0.0,1
2020-07-08,hepatitis_a_confirmed,Kerala,Thrissur,0,0.0,0.0,1
2020-07-08,hepatitis_c,Kerala,Kozhikode,0,0.0,0.0,1
2020-07-08,hepatitis_c,Kerala,Thrissur,1,0.0,0.0,2
2020-07-08,leptospirosis_confirmed,Kerala,Kottayam,1,0.0,0.0,1
2020-07-08,leptospirosis_confirmed,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-07-08,leptospirosis_probable,Kerala,Idukki,1,0.0538899318481054,0.0538899318481054,1
2020-07-08,leptospirosis_probable,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-07-09,fever_ip,Kerala,Kollam,0,0.0,0.0,1
2020-07-09,fever_ip,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-07-09,fever_op,Kerala,Palakkad,1,0.0,0.0,1
2020-07-09,hepatitis_a_confirmed,Kerala,Alappuzha,0,0.0,0.0,1
2020-07-09,hepatitis_a_confirmed,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-07-09,leptospirosis_confirmed,Kerala,Kasaragod,1,0.0,0.0,1
2020-07-09,leptospirosis_confirmed,Kerala,Palakkad,1,0.0,0.0,1
2020-07-10,fever_ip,Kerala,Alappuzha,0,0.0,0.0,1
2020-07-10,fever_ip,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-07-10,fever_op,Kerala,Alappuzha,1,0.5072484850532498,0.5072484850532498,1
2020-07-10,fever_op,Kerala,Kottayam,1,0.0,0.0,1
2020-07-10,fever_op,Kerala,Malappuram,0,0.0,0.0,1
2020-07-10,fever_op,Kerala,Palakkad,1,0.0,0.0,1
2020-07-10,hepatitis_a_confirmed,Kerala,Ernakulam,1,0.0,0.0,1
2020-07-10,hepatitis_a_confirmed,Kerala,Idukki,0,0.0,0.0,1
2020-07-10,hepatitis_a_confirmed,Kerala,Kannur,1,0.0,0.0,1
2020-07-10,hepatitis_a_confirmed,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-07-11,fever_ip,Kerala,Pathanamthitta,0,0.0004474975398778,0.0004474975398778,1
2020-07-11,fever_op,Kerala,Kannur,3,0.0,0.0,3
2020-07-11,fever_op,Kerala,Malappuram,1,0.0,0.0,1
2020-07-11,hepatitis_a_confirmed,Kerala,Alappuzha,0,0.0,0.0,1
2020-07-11,hepatitis_a_confirmed,Kerala,Thrissur,0,0.0,0.0,1
2020-07-12,hepatitis_a_confirmed,Kerala,Kannur,0,0.0,0.0,1
2020-07-13,hepatitis_a_confirmed,Kerala,Ernakulam,0,0.0,0.0,1
2020-07-13,hepatitis_a_confirmed,Kerala,Kottayam,1,0.0,0.0,1
2020-08-07,chicken_pox,Kerala,Alappuzha,1,0.0,0.0,1
2020-08-07,chicken_pox,Kerala,Ernakulam,0,0.0,0.0,1
2020-08-07,chicken_pox,Kerala,Palakkad,0,0.0002227128419499,0.0002227128419499,1
2020-08-07,chicken_pox,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-08-07,scrub_typhus,Kerala,Palakkad,2,0.0,0.0,2
2020-08-08,acute_diarrheal_disease,Kerala,Kannur,0,0.0,0.0,1
2020-08-08,acute_diarrheal_disease,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-08-08,chicken_pox,Kerala,Malappuram,0,0.0,0.0,1
2020-08-08,chicken_pox,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-08-08,dengue,Kerala,Ernakulam,0,0.0,0.0,1
2020-08-08,dengue,Kerala,Kasaragod,0,0.0,0.0,1
2020-08-08,dengue,Kerala,Kollam,1,0.0,0.0,1
2020-08-08,scrub_typhus,Kerala,Malappuram,0,0.0,0.0,1
2020-08-09,acute_diarrheal_disease,Kerala,Thiruvananthapuram,1,0.036919912725183,0.036919912725183,1
2020-08-09,chicken_pox,Kerala,Idukki,1,0.0,0.0,2
2020-08-09,dengue,Kerala,Idukki,1,0.0,0.0,1
2020-08-09,dengue,Kerala,Kannur,1,0.0,0.0,1
2020-08-09,dengue,Kerala,Palakkad,0,0.0,0.0,1
2020-08-09,dengue,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-08-10,dengue,Kerala,Kollam,1,0.0,0.0,2
2020-08-10,dengue,Kerala,Malappuram,1,0.0,0.0,1
2020-08-10,dengue,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-08-10,dengue,Kerala,Thrissur,0,0.0002699678920971,0.0002699678920971,1
2020-08-11,dengue,Kerala,Ernakulam,1,0.0267315003885196,0.0267315003885196,1
2020-08-11,dengue,Kerala,Palakkad,0,0.0,0.0,1
2020-08-11,fever_ip,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-08-11,fever_ip,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-08-11,malaria,Kerala,Kozhikode,0,0.0,0.0,1
2020-08-11,malaria,Kerala,Malappuram,0,0.0,0.0,1
2020-08-11,malaria,Kerala,Thrissur,1,0.0,0.0,1
2020-08-12,acute_encephalitis_syndrome,Kerala,Malappuram,1,0.0,0.0,1
2020-08-12,fever_ip,Kerala,Alappuzha,0,0.0,0.0,1
2020-08-12,fever_op,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-08-12,malaria,Kerala,Kannur,0,0.0,0.0,1
2020-08-12,malaria,Kerala,Kasaragod,0,0.0,0.0,1
2020-08-13,acute_encephalitis_syndrome,Kerala,Kottayam,1,0.0,0.0,1
2020-08-13,acute_encephalitis_syndrome,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-08-13,fever_ip,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-08-13,fever_op,Kerala,Palakkad,0,0.0,0.0,1
2020-08-13,fever_op,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-08-14,acute_encephalitis_syndrome,Kerala,Kozhikode,0,0.0,0.0,1
2020-08-14,fever_ip,Kerala,Kasaragod,1,0.0,0.0,1
2020-08-14,fever_ip,Kerala,Palakkad,1,0.0,0.0,1
2020-08-14,fever_op,Kerala,Ernakulam,1,0.0,0.0,1
2020-08-14,fever_op,Kerala,Idukki,1,0.0,0.0,1
2020-08-14,fever_op,Kerala,Kottayam,1,0.0,0.0,1
2020-08-14,hepatitis_a_confirmed,Kerala,Alappuzha,1,4.031199542819508e-05,4.031199542819508e-05,1
2020-08-14,hepatitis_a_confirmed,Kerala,Kollam,1,0.007921937596429,0.007921937596429,1
2020-08-15,fever_op,Kerala,Alappuzha,0,0.0,0.0,1
2020-08-15,hepatitis_a_confirmed,Kerala,Alappuzha,1,0.0777845236652979,0.0777845236652979,1
2020-08-15,hepatitis_a_confirmed,Kerala,Kannur,1,0.0,0.0,1
2020-08-15,hepatitis_a_confirmed,Kerala,Kasaragod,0,0.0,0.0,1
2020-08-15,hepatitis_a_confirmed,Kerala,Wayanad,1,0.0,0.0,1
2020-09-08,leptospirosis_probable,Kerala,Idukki,1,0.0,0.0,1
2020-09-08,leptospirosis_probable,Kerala,Kollam,0,0.0,0.0,1
2020-09-09,acute_diarrheal_disease,Kerala,Palakkad,1,0.0,0.0,1
2020-09-09,acute_diarrheal_disease,Kerala,Thrissur,1,0.0,0.0,1
2020-09-09,hepatitis_a_probable,Kerala,Pathanamthitta,2,0.0022233661655586003,0.0020818230100759,2
2020-09-09,leptospirosis_confirmed,Kerala,Alappuzha,0,0.0,0.0,1
2020-09-09,leptospirosis_probable,Kerala,Kannur,1,0.0,0.0,1
2020-09-09,scrub_typhus,Kerala,Alappuzha,0,0.0,0.0,1
2020-09-09,scrub_typhus,Kerala,Kollam,0,0.0,0.0,1
2020-09-09,scrub_typhus,Kerala,Palakkad,0,0.0,0.0,1
2020-09-09,scrub_typhus,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-09-09,typhoid,Kerala,Ernakulam,0,0.0,0.0,1
