State,Candidate_A,Candidate_B,Similarity_Score,Coordinate_Distance,Decision,Canonical_Name,Reason
Tamil Nadu,Villupuram,Viluppuram,90.0,0.0353,,Viluppuram,High string similarity and identical/proximate coordinates
Tamil Nadu,Villupuram  Kallakurichi,Villupuram - Kallakurichi,95.83,0.0,,Villupuram  Kallakurichi,High string similarity and identical/proximate coordinates
Tamil Nadu,Villupuram  Kallakurichi,Villupuram- Kallakurichi,97.87,0.0,,Villupuram- Kallakurichi,High string similarity and identical/proximate coordinates
Tamil Nadu,Villupuram - Kallakurichi,Villupuram- Kallakurichi,93.88,0.0,,Villupuram- Kallakurichi,High string similarity and identical/proximate coordinates
Tamil Nadu,Virudhunagar (Sivakasi),Virudhunagar - Sivakasi,91.3,0.0,,Virudhunagar - Sivakasi,High string similarity and identical/proximate coordinates
Tamil Nadu,Virudhunagar (Sivakasi),Virudhunagar Sivakasi,95.45,0.0,,Virudhunagar Sivakasi,High string similarity and identical/proximate coordinates
Tamil Nadu,Virudhunagar (Sivakasi),Virudhunagar- Sivakasi,93.33,0.0,,Virudhunagar- Sivakasi,High string similarity and identical/proximate coordinates
Tamil Nadu,Virudhunagar - Sivakasi,Virudhunagar Sivakasi,95.45,0.0,,Virudhunagar Sivakasi,High string similarity and identical/proximate coordinates
Tamil Nadu,Virudhunagar - Sivakasi,Virudhunagar- Sivakasi,93.33,0.0,,Virudhunagar- Sivakasi,High string similarity and identical/proximate coordinates
Tamil Nadu,Virudhunagar Sivakasi,Virudhunagar- Sivakasi,97.67,0.0,,Virudhunagar Sivakasi,High string similarity and identical/proximate coordinates
Telangana,Mahabubnagar,Mahbubnagar,95.65,0.0575,,Mahbubnagar,High string similarity and identical/proximate coordinates
West Bengal,24 North Parganas,North 24 Parganas,100.0,0.4861,,North 24 Parganas,High string similarity and identical/proximate coordinates
West Bengal,Midnapore West,Midnapur West,88.89,0.1541,,Midnapur West,High string similarity and identical/proximate coordinates
West Bengal,Purulia,Puruliya,93.33,0.1373,,Purulia,High string similarity and identical/proximate coordinates
West Bengal,South 24 Parganas,South Parganas,90.32,0.0,,South Parganas,High string similarity and identical/proximate coordinates
